         44177217 function calls (43296146 primitive calls) in 2347.560 seconds

   Ordered by: cumulative time
   List reduced from 1905 to 572 due to restriction <0.3>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
14259/14255    0.474    0.000 2708.738    0.190 D:\RjDir\admin_d95c8884-f44c-4529-8f3b-48d5788371c1\Downloads\业务文档\NPEE\408\OS\2024\ModularAutomation\core\flow_chart.py:154(run_step)
17815/12821    0.786    0.000 2630.582    0.205 D:\RjDir\admin_d95c8884-f44c-4529-8f3b-48d5788371c1\Downloads\业务文档\NPEE\408\OS\2024\ModularAutomation\core\flow_chart.py:254(execute_hook)
19415/17808    1.255    0.000 2620.002    0.147 {built-in method builtins.eval}
 65683/47   59.269    0.001 2349.349   49.986 C:\Python312-32\Lib\threading.py:323(wait)
19203/15595    0.391    0.000 1942.511    0.125 C:\Python312-32\Lib\threading.py:637(wait)
3562/3481    0.149    0.000  756.154    0.217 D:\RjDir\admin_d95c8884-f44c-4529-8f3b-48d5788371c1\Downloads\业务文档\NPEE\408\OS\2024\ModularAutomation\modules\http_api.py:6(http_post)
3562/3481    0.110    0.000  751.219    0.216 C:\Python312-32\Lib\site-packages\requests\api.py:103(post)
3562/3481    0.191    0.000  750.618    0.216 C:\Python312-32\Lib\site-packages\requests\api.py:14(request)
3562/3481    0.270    0.000  747.614    0.215 C:\Python312-32\Lib\site-packages\requests\sessions.py:502(request)
3562/3481    0.210    0.000  743.765    0.214 C:\Python312-32\Lib\site-packages\requests\sessions.py:673(send)
3562/3481    0.255    0.000  741.110    0.213 C:\Python312-32\Lib\site-packages\requests\adapters.py:434(send)
3562/3481    0.164    0.000  739.108    0.212 C:\Python312-32\Lib\site-packages\urllib3\connectionpool.py:595(urlopen)
3562/3481    0.201    0.000  738.891    0.212 C:\Python312-32\Lib\site-packages\urllib3\connectionpool.py:380(_make_request)
3560/3479    0.043    0.000  728.151    0.209 D:\RjDir\admin_d95c8884-f44c-4529-8f3b-48d5788371c1\Downloads\业务文档\NPEE\408\OS\2024\ModularAutomation\core\flow_chart.py:246(serial_execution)
3560/3479    0.168    0.000  711.031    0.204 D:\RjDir\admin_d95c8884-f44c-4529-8f3b-48d5788371c1\Downloads\业务文档\NPEE\408\OS\2024\ModularAutomation\modules\http_eweb_api.py:12(eweb_inject_cmd)
3559/3487    0.159    0.000  667.629    0.191 C:\Python312-32\Lib\site-packages\urllib3\connection.py:435(getresponse)
3559/3487    0.069    0.000  660.878    0.190 C:\Python312-32\Lib\http\client.py:1375(getresponse)
3559/3487    0.133    0.000  660.629    0.189 C:\Python312-32\Lib\http\client.py:324(begin)
