         5675785 function calls (5660939 primitive calls) in 747.742 seconds

   Ordered by: cumulative time
   List reduced from 1676 to 503 due to restriction <0.3>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    14255    0.910    0.000  747.415    0.052 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\core\flow_chart.py:148(run_step)
    14254    1.102    0.000  697.517    0.049 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\core\flow_chart.py:230(execute_hook)
    18013  659.913    0.037  659.913    0.037 {method 'acquire' of '_thread.lock' objects}
15854/14254    1.133    0.000  655.535    0.046 {built-in method builtins.eval}
     3560    0.068    0.000  652.856    0.183 C:\Users\16413\AppData\Local\Programs\Python\Python311-32\Lib\threading.py:1080(join)
     3560    0.042    0.000  652.774    0.183 C:\Users\16413\AppData\Local\Programs\Python\Python311-32\Lib\threading.py:1118(_wait_for_tstate_lock)
     3559    0.074    0.000  648.014    0.182 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\hooks\cmd_injection.py:98(h6)
    42937   37.399    0.001   37.399    0.001 {built-in method builtins.print}
    14258    0.057    0.000   20.855    0.001 <frozen genericpath>:16(exists)
    14319   20.806    0.001   20.806    0.001 {built-in method nt.stat}
        1    0.000    0.000   10.017   10.017 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\modules\console.py:64(console_send)
        1    0.000    0.000   10.001   10.001 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\modules\console.py:65(wait_for_echo)
        1   10.001   10.001   10.001   10.001 {built-in method time.sleep}
        1    0.000    0.000    9.378    9.378 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\modules\excel_handler.py:108(write_summary)
        5    0.276    0.055    8.064    1.613 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\modules\excel_handler.py:109(ws_per_key)
     3587    0.066    0.000    7.535    0.002 C:\Users\16413\AppData\Local\Programs\Python\Python311-32\Lib\threading.py:604(wait)
     3583    0.095    0.000    7.464    0.002 C:\Users\16413\AppData\Local\Programs\Python\Python311-32\Lib\threading.py:288(wait)
    17818    0.257    0.000    6.622    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\styles\styleable.py:23(__set__)
    36922    0.294    0.000    6.614    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\utils\indexed_list.py:47(add)
     3561    0.078    0.000    6.384    0.002 C:\Users\16413\AppData\Local\Programs\Python\Python311-32\Lib\threading.py:938(start)
        1    0.000    0.000    5.061    5.061 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\hooks\cmd_injection.py:139(h8)
36938/36858    1.796    0.000    4.826    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\descriptors\serialisable.py:173(__eq__)
    36933    0.173    0.000    3.353    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\utils\indexed_list.py:42(append)
