         43692599 function calls (42854001 primitive calls) in 2335.279 seconds

   Ordered by: cumulative time
   List reduced from 1904 to 571 due to restriction <0.3>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
14259/14255    0.508    0.000 2814.765    0.197 D:\RjDir\admin_d95c8884-f44c-4529-8f3b-48d5788371c1\Downloads\业务文档\NPEE\408\OS\2024\模块式自动化\core\flow_chart.py:148(run_step)
14255/14254    0.579    0.000 2786.919    0.196 D:\RjDir\admin_d95c8884-f44c-4529-8f3b-48d5788371c1\Downloads\业务文档\NPEE\408\OS\2024\模块式自动化\core\flow_chart.py:230(execute_hook)
15855/14254    1.119    0.000 2777.106    0.195 {built-in method builtins.eval}
 65110/42   58.590    0.001 2334.768   55.590 C:\Python312-32\Lib\threading.py:323(wait)
19119/15503    0.350    0.000 2023.179    0.131 C:\Python312-32\Lib\threading.py:637(wait)
3562/3434    0.161    0.000  702.063    0.204 D:\RjDir\admin_d95c8884-f44c-4529-8f3b-48d5788371c1\Downloads\业务文档\NPEE\408\OS\2024\模块式自动化\modules\http_api.py:6(http_post)
3562/3434    0.101    0.000  694.288    0.202 C:\Python312-32\Lib\site-packages\requests\api.py:103(post)
3562/3434    0.158    0.000  694.072    0.202 C:\Python312-32\Lib\site-packages\requests\api.py:14(request)
3562/3434    0.308    0.000  684.828    0.199 C:\Python312-32\Lib\site-packages\requests\sessions.py:502(request)
3562/3434    0.212    0.000  681.859    0.199 C:\Python312-32\Lib\site-packages\requests\sessions.py:673(send)
3562/3434    0.206    0.000  676.748    0.197 C:\Python312-32\Lib\site-packages\requests\adapters.py:434(send)
3562/3434    0.183    0.000  675.044    0.197 C:\Python312-32\Lib\site-packages\urllib3\connectionpool.py:595(urlopen)
3560/3432    0.156    0.000  667.661    0.195 D:\RjDir\admin_d95c8884-f44c-4529-8f3b-48d5788371c1\Downloads\业务文档\NPEE\408\OS\2024\模块式自动化\modules\http_eweb_api.py:9(eweb_inject_cmd)
3562/3434    0.168    0.000  640.563    0.187 C:\Python312-32\Lib\site-packages\urllib3\connectionpool.py:380(_make_request)
3560/3432    0.175    0.000  615.240    0.179 C:\Python312-32\Lib\site-packages\urllib3\connection.py:435(getresponse)
3560/3432    0.099    0.000  595.935    0.174 C:\Python312-32\Lib\http\client.py:1375(getresponse)
3560/3432    0.188    0.000  595.495    0.174 C:\Python312-32\Lib\http\client.py:324(begin)
3560/3432    0.194    0.000  592.570    0.173 C:\Python312-32\Lib\http\client.py:291(_read_status)
     3560    0.067    0.000  569.551    0.160 C:\Python312-32\Lib\threading.py:1115(join)
     3560    0.086    0.000  267.468    0.075 D:\RjDir\admin_d95c8884-f44c-4529-8f3b-48d5788371c1\Downloads\业务文档\NPEE\408\OS\2024\模块式自动化\hooks\cmd_injection.py:112(h7)
36675/5941 1089.390    0.030  192.469    0.032 {built-in method time.sleep}
     3560    0.023    0.000  158.055    0.044 C:\Python312-32\Lib\threading.py:1153(_wait_for_tstate_lock)
     6471    0.121    0.000  156.434    0.024 c:\Users\admin\.vscode\extensions\ms-python.python-2023.22.1\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_comm.py:194(_read_line)
     3559    0.062    0.000   86.288    0.024 D:\RjDir\admin_d95c8884-f44c-4529-8f3b-48d5788371c1\Downloads\业务文档\NPEE\408\OS\2024\模块式自动化\hooks\cmd_injection.py:99(h6)
37434/36570    0.074    0.000   75.456    0.002 {method 'readline' of '_io.BufferedReader' objects}
4826/4610    0.102    0.000   73.670    0.016 C:\Python312-32\Lib\socket.py:693(readinto)
3437/3234   70.939    0.021   68.173    0.021 {method 'recv' of '_socket.socket' objects}
4825/4609   68.827    0.014   64.548    0.014 {method 'recv_into' of '_socket.socket' objects}
     3562    0.151    0.000   61.387    0.017 C:\Python312-32\Lib\site-packages\urllib3\connection.py:319(request)
     3562    0.117    0.000   52.023    0.015 C:\Python312-32\Lib\http\client.py:1311(endheaders)
    22754    0.526    0.000   44.881    0.002 C:\Python312-32\Lib\site-packages\keyboard\__init__.py:402(is_pressed)
    22754    0.631    0.000   43.972    0.002 C:\Python312-32\Lib\site-packages\keyboard\__init__.py:328(parse_hotkey)
   113770    0.434    0.000   42.714    0.000 C:\Python312-32\Lib\site-packages\keyboard\__init__.py:358(<genexpr>)
227561/91029   17.048    0.000   42.242    0.000 C:\Python312-32\Lib\site-packages\keyboard\__init__.py:298(key_to_scan_codes)
     3562    0.088    0.000   41.404    0.012 C:\Python312-32\Lib\http\client.py:1072(_send_output)
     3562    0.076    0.000   40.846    0.011 C:\Python312-32\Lib\site-packages\requests\sessions.py:751(merge_environment_settings)
     3562    0.035    0.000   40.582    0.011 C:\Python312-32\Lib\site-packages\requests\utils.py:824(get_environ_proxies)
     7122    0.124    0.000   40.569    0.006 C:\Python312-32\Lib\http\client.py:1017(send)
     3561    0.114    0.000   40.278    0.011 C:\Python312-32\Lib\site-packages\urllib3\connection.py:242(connect)
     3562    0.156    0.000   34.344    0.010 C:\Python312-32\Lib\site-packages\urllib3\connection.py:197(_new_conn)
  8943219   17.324    0.000   23.758    0.000 C:\Python312-32\Lib\site-packages\keyboard\__init__.py:317(<genexpr>)
     3562    0.101    0.000   14.055    0.004 C:\Python312-32\Lib\site-packages\urllib3\util\connection.py:27(create_connection)
     3563   12.511    0.004   12.529    0.004 {method 'connect' of '_socket.socket' objects}
46497/46414   11.236    0.000   11.906    0.000 {built-in method builtins.print}
3567/3564    0.746    0.000   10.093    0.003 C:\Python312-32\Lib\threading.py:973(start)
    10361    0.085    0.000    7.518    0.001 c:\Users\admin\.vscode\extensions\ms-python.python-2023.22.1\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_net_command.py:102(send)
27840/27832    0.934    0.000    7.059    0.000 {method 'sendall' of '_socket.socket' objects}
     3564    0.018    0.000    6.691    0.002 c:\Users\admin\.vscode\extensions\ms-python.python-2023.22.1\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydev_bundle\pydev_monkey.py:235(_on_set_trace_for_new_thread)
     3564    0.058    0.000    6.610    0.002 c:\Users\admin\.vscode\extensions\ms-python.python-2023.22.1\pythonFiles\lib\python\debugpy\_vendored\pydevd\pydevd.py:1071(enable_tracing)
  8943219    6.068    0.000    6.434    0.000 C:\Python312-32\Lib\site-packages\keyboard\_winkeyboard.py:567(map_name)
7125/7124    0.047    0.000    5.435    0.001 c:\Users\admin\.vscode\extensions\ms-python.python-2023.22.1\pythonFiles\lib\python\debugpy\_vendored\pydevd\pydevd_tracing.py:83(SetTrace)
        1    0.000    0.000    5.011    5.011 D:\RjDir\admin_d95c8884-f44c-4529-8f3b-48d5788371c1\Downloads\业务文档\NPEE\408\OS\2024\模块式自动化\hooks\cmd_injection.py:142(h8)
     3562    0.155    0.000    4.262    0.001 C:\Python312-32\Lib\site-packages\requests\sessions.py:459(prepare_request)
        1    0.000    0.000    3.659    3.659 D:\RjDir\admin_d95c8884-f44c-4529-8f3b-48d5788371c1\Downloads\业务文档\NPEE\408\OS\2024\模块式自动化\modules\excel_handler.py:108(write_summary)
     3562    0.051    0.000    2.697    0.001 C:\Python312-32\Lib\site-packages\requests\adapters.py:331(get_connection)
     6889    0.031    0.000    2.661    0.000 C:\Python312-32\Lib\site-packages\requests\models.py:887(content)
    36922    0.178    0.000    2.570    0.000 C:\Python312-32\Lib\site-packages\openpyxl\utils\indexed_list.py:47(add)
        1    0.000    0.000    2.564    2.564 C:\Python312-32\Lib\site-packages\openpyxl\workbook\workbook.py:373(save)
        1    0.000    0.000    2.557    2.557 C:\Python312-32\Lib\site-packages\openpyxl\writer\excel.py:279(save_workbook)
        1    0.000    0.000    2.555    2.555 C:\Python312-32\Lib\site-packages\openpyxl\writer\excel.py:273(save)
        1    0.001    0.001    2.554    2.554 C:\Python312-32\Lib\site-packages\openpyxl\writer\excel.py:54(write_data)
    35414    0.044    0.000    2.539    0.000 {method 'join' of 'bytes' objects}
    17818    0.123    0.000    2.512    0.000 C:\Python312-32\Lib\site-packages\openpyxl\styles\styleable.py:23(__set__)
     6914    0.030    0.000    2.493    0.000 C:\Python312-32\Lib\site-packages\requests\models.py:812(generate)
        1    0.000    0.000    2.473    2.473 C:\Python312-32\Lib\site-packages\openpyxl\writer\excel.py:208(_write_worksheets)
        1    0.000    0.000    2.473    2.473 C:\Python312-32\Lib\site-packages\openpyxl\writer\excel.py:190(write_worksheet)
     6914    0.043    0.000    2.461    0.000 C:\Python312-32\Lib\site-packages\urllib3\response.py:912(stream)
        1    0.000    0.000    2.445    2.445 C:\Python312-32\Lib\site-packages\openpyxl\worksheet\_writer.py:354(write)
     3457    0.103    0.000    2.390    0.001 C:\Python312-32\Lib\site-packages\urllib3\response.py:841(read)
     3562    0.095    0.000    2.315    0.001 C:\Python312-32\Lib\site-packages\requests\models.py:352(prepare)
     3562    0.038    0.000    2.306    0.001 C:\Python312-32\Lib\site-packages\urllib3\poolmanager.py:357(connection_from_url)
     7124    0.991    0.000    2.229    0.000 C:\Python312-32\Lib\urllib\request.py:2505(getproxies_environment)
     6914    0.124    0.000    2.173    0.000 C:\Python312-32\Lib\site-packages\urllib3\response.py:799(_raw_read)
     3562    0.102    0.000    1.959    0.001 C:\Python312-32\Lib\site-packages\requests\utils.py:764(should_bypass_proxies)
49518/49515    0.112    0.000    1.871    0.000 {built-in method builtins.next}
    10686    0.318    0.000    1.838    0.000 C:\Python312-32\Lib\site-packages\urllib3\util\url.py:369(parse_url)
14048/14047    0.027    0.000    1.817    0.000 C:\Python312-32\Lib\contextlib.py:141(__exit__)
     3457    0.033    0.000    1.797    0.001 C:\Python312-32\Lib\http\client.py:245(parse_headers)
     3457    0.046    0.000    1.655    0.000 C:\Python312-32\Lib\http\client.py:231(_parse_header_lines)
     6914    0.033    0.000    1.650    0.000 C:\Python312-32\Lib\site-packages\urllib3\response.py:755(_fp_read)
     6914    0.043    0.000    1.616    0.000 C:\Python312-32\Lib\http\client.py:463(read)
    24928    1.191    0.000    1.612    0.000 C:\Python312-32\Lib\site-packages\urllib3\util\url.py:227(_encode_invalid_chars)
     3457    0.042    0.000    1.598    0.000 C:\Python312-32\Lib\email\parser.py:56(parsestr)
36938/36858    0.424    0.000    1.582    0.000 C:\Python312-32\Lib\site-packages\openpyxl\descriptors\serialisable.py:173(__eq__)
     3562    0.043    0.000    1.581    0.000 C:\Python312-32\Lib\site-packages\requests\utils.py:112(proxy_bypass)
     7126    0.014    0.000    1.578    0.000 C:\Python312-32\Lib\site-packages\et_xmlfile\xmlfile.py:25(element)
     3562    0.037    0.000    1.571    0.000 C:\Python312-32\Lib\urllib\request.py:2728(getproxies)
       11    0.000    0.000    1.564    0.142 C:\Python312-32\Lib\site-packages\openpyxl\worksheet\_writer.py:287(get_stream)
        1    0.000    0.000    1.564    1.564 C:\Python312-32\Lib\site-packages\openpyxl\worksheet\_writer.py:364(close)
        1    0.000    0.000    1.564    1.564 {method 'close' of 'generator' objects}
        1    0.000    0.000    1.560    1.560 C:\Python312-32\Lib\site-packages\et_xmlfile\xmlfile.py:76(_write_element)
     3457    0.050    0.000    1.556    0.000 C:\Python312-32\Lib\email\parser.py:41(parse)
     3562    0.033    0.000    1.549    0.000 C:\Python312-32\Lib\site-packages\urllib3\poolmanager.py:277(connection_from_host)
     3562    0.038    0.000    1.506    0.000 C:\Python312-32\Lib\site-packages\urllib3\poolmanager.py:306(connection_from_context)
     4548    0.020    0.000    1.482    0.000 {method 'read' of '_io.BufferedReader' objects}
        9    0.000    0.000    1.368    0.152 C:\Python312-32\Lib\xml\etree\ElementTree.py:1066(tostring)
        9    0.000    0.000    1.367    0.152 C:\Python312-32\Lib\xml\etree\ElementTree.py:678(write)
     3562    0.050    0.000    1.341    0.000 C:\Python312-32\Lib\site-packages\urllib3\poolmanager.py:331(connection_from_pool_key)
3268556/3254728    1.129    0.000    1.336    0.000 {built-in method builtins.isinstance}
    36933    0.118    0.000    1.269    0.000 C:\Python312-32\Lib\site-packages\openpyxl\utils\indexed_list.py:42(append)
     3562    0.060    0.000    1.238    0.000 C:\Python312-32\Lib\site-packages\urllib3\poolmanager.py:230(_new_pool)
     3457    0.025    0.000    1.201    0.000 C:\Python312-32\Lib\email\feedparser.py:171(feed)
     6914    0.081    0.000    1.194    0.000 C:\Python312-32\Lib\email\feedparser.py:176(_call_parse)
     3562    0.189    0.000    1.164    0.000 C:\Python312-32\Lib\site-packages\urllib3\connectionpool.py:178(__init__)
   216161    0.621    0.000    1.126    0.000 C:\Python312-32\Lib\site-packages\openpyxl\styles\alignment.py:68(__iter__)
     6914    0.224    0.000    1.113    0.000 C:\Python312-32\Lib\email\feedparser.py:216(_parsegen)
     3562    0.107    0.000    1.085    0.000 C:\Python312-32\Lib\site-packages\requests\models.py:410(prepare_url)
   441688    0.789    0.000    1.053    0.000 C:\Python312-32\Lib\_collections_abc.py:868(__iter__)
21378/21377    1.008    0.000    1.048    0.000 {built-in method nt._path_exists}
     3496    0.019    0.000    1.026    0.000 C:\Python312-32\Lib\weakref.py:585(__call__)
14260/14258    0.925    0.000    0.999    0.000 {built-in method builtins.exec}
     3496    0.127    0.000    0.979    0.000 C:\Python312-32\Lib\site-packages\urllib3\connectionpool.py:1174(_close_pool_connections)
    51735    0.513    0.000    0.976    0.000 C:\Python312-32\Lib\queue.py:122(put)
    24934    0.186    0.000    0.946    0.000 C:\Python312-32\Lib\site-packages\requests\sessions.py:61(merge_setting)
   250945    0.606    0.000    0.921    0.000 C:\Python312-32\Lib\site-packages\keyboard\_canonical_names.py:1233(normalize_name)
     3457    0.066    0.000    0.903    0.000 C:\Python312-32\Lib\site-packages\requests\adapters.py:294(build_response)
        1    0.010    0.010    0.861    0.861 C:\Python312-32\Lib\site-packages\openpyxl\worksheet\_writer.py:120(write_rows)
     3561    0.115    0.000    0.833    0.000 C:\Python312-32\Lib\site-packages\openpyxl\worksheet\_writer.py:130(write_row)
  57530/9    0.661    0.000    0.799    0.089 C:\Python312-32\Lib\xml\etree\ElementTree.py:849(_serialize_xml)
     7770    0.332    0.000    0.793    0.000 c:\Users\admin\.vscode\extensions\ms-python.python-2023.22.1\pythonFiles\lib\python\debugpy\_vendored\pydevd\pydevd.py:1681(process_internal_commands)
        5    0.039    0.008    0.778    0.156 D:\RjDir\admin_d95c8884-f44c-4529-8f3b-48d5788371c1\Downloads\业务文档\NPEE\408\OS\2024\模块式自动化\modules\excel_handler.py:109(ws_per_key)
     3562    0.116    0.000    0.776    0.000 C:\Python312-32\Lib\site-packages\requests\utils.py:199(get_netrc_auth)
     3562    0.100    0.000    0.756    0.000 C:\Python312-32\Lib\site-packages\requests\sessions.py:391(__init__)
     3236    0.044    0.000    0.747    0.000 c:\Users\admin\.vscode\extensions\ms-python.python-2023.22.1\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_process_net_command_json.py:128(process_net_command_json)
    21162    0.107    0.000    0.742    0.000 C:\Python312-32\Lib\site-packages\requests\structures.py:40(__init__)
    28286    0.381    0.000    0.705    0.000 C:\Python312-32\Lib\_collections_abc.py:974(update)
43838/38660    0.401    0.000    0.660    0.000 C:\Python312-32\Lib\site-packages\openpyxl\descriptors\serialisable.py:204(__hash__)
   109898    0.301    0.000    0.655    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.600    0.600 D:\RjDir\admin_d95c8884-f44c-4529-8f3b-48d5788371c1\Downloads\业务文档\NPEE\408\OS\2024\模块式自动化\modules\webhook_api.py:4(webhook_send)
    35984    0.121    0.000    0.585    0.000 C:\Python312-32\Lib\site-packages\openpyxl\worksheet\worksheet.py:221(cell)
    17808    0.149    0.000    0.584    0.000 C:\Python312-32\Lib\site-packages\openpyxl\cell\_writer.py:45(etree_write_cell)
    24934    0.123    0.000    0.570    0.000 C:\Python312-32\Lib\site-packages\urllib3\connection.py:305(putheader)
    45508    0.234    0.000    0.563    0.000 C:\Python312-32\Lib\re\__init__.py:199(split)
     3562    0.177    0.000    0.562    0.000 C:\Python312-32\Lib\site-packages\requests\models.py:484(prepare_headers)
    10361    0.131    0.000    0.538    0.000 c:\Users\admin\.vscode\extensions\ms-python.python-2023.22.1\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_net_command.py:56(__init__)
    85488    0.362    0.000    0.525    0.000 C:\Python312-32\Lib\_collections_abc.py:892(__iter__)
   247925    0.445    0.000    0.507    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      7/5    0.001    0.000    0.502    0.100 C:\Python312-32\Lib\site-packages\openpyxl\reader\excel.py:314(load_workbook)
     3562    0.030    0.000    0.498    0.000 C:\Python312-32\Lib\site-packages\requests\utils.py:76(proxy_bypass_registry)
      6/5    0.001    0.000    0.496    0.099 C:\Python312-32\Lib\site-packages\openpyxl\reader\excel.py:284(read)
      2/1    0.000    0.000    0.492    0.492 D:\RjDir\admin_d95c8884-f44c-4529-8f3b-48d5788371c1\Downloads\业务文档\NPEE\408\OS\2024\模块式自动化\modules\console.py:13(console_login)
      6/5    0.001    0.000    0.492    0.098 C:\Python312-32\Lib\site-packages\openpyxl\styles\stylesheet.py:188(apply_stylesheet)
    35311    0.349    0.000    0.487    0.000 C:\Python312-32\Lib\urllib\parse.py:374(urlparse)
      2/1    0.001    0.000    0.487    0.487 C:\Python312-32\Lib\site-packages\paramiko\client.py:217(connect)
    53296    0.137    0.000    0.485    0.000 c:\Users\admin\.vscode\extensions\ms-python.python-2023.22.1\pythonFiles\lib\python\debugpy\_vendored\pydevd\pydevd.py:1626(notify_thread_created)
   108601    0.268    0.000    0.484    0.000 C:\Python312-32\Lib\threading.py:394(notify)
     3562    0.032    0.000    0.479    0.000 C:\Python312-32\Lib\site-packages\urllib3\util\url.py:351(_encode_target)
     3563    0.075    0.000    0.477    0.000 C:\Python312-32\Lib\socket.py:946(getaddrinfo)
     3236    0.005    0.000    0.475    0.000 c:\Users\admin\.vscode\extensions\ms-python.python-2023.22.1\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_process_net_command_json.py:271(on_threads_request)
     6914    0.067    0.000    0.473    0.000 C:\Python312-32\Lib\site-packages\requests\cookies.py:124(extract_cookies_to_jar)
     3236    0.007    0.000    0.471    0.000 c:\Users\admin\.vscode\extensions\ms-python.python-2023.22.1\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_api.py:146(list_threads)
